subid,sent.len,timestamp,word.len,rt,keypress,correct
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:07,8,2.191,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:11,6,0.718,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:16,4,0.931,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:21,8,0.42700000000000005,2,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:25,4,0.7989999999999999,2,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:29,4,0.535,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:33,6,0.8550000000000001,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:39,8,0.995,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:43,4,0.51,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:47,6,0.47900000000000004,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:52,8,0.8190000000000001,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:46:57,6,1.024,1,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:02,8,0.556,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:06,6,0.538,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:10,4,0.588,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:15,8,0.312,2,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:20,8,0.391,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:25,6,1.307,1,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:30,8,0.69,1,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:34,8,0.22,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:39,6,1.272,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:44,8,0.28200000000000003,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:48,4,0.43400000000000005,2,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:53,6,1.562,2,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:47:57,4,0.374,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:48:02,8,0.29300000000000004,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:48:06,8,0.35,1,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:48:11,4,1.796,2,0
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:48:16,8,0.363,2,1
6db01c1972c707bd830c50c1fc4db576,24,26-Sep-2006 10:48:21,6,0.617,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:17,8,5.382,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:28,4,6.746,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:34,8,2.1189999999999998,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:40,6,1.772,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:44,4,1.122,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:50,8,1.2409999999999999,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:54,4,0.6869999999999999,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:30:59,4,1.854,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:04,6,0.887,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:09,8,0.908,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:16,8,2.4709999999999996,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:20,4,0.8570000000000001,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:26,8,1.8980000000000001,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:30,4,0.658,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:35,4,2.013,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:42,6,2.403,2,0
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:46,6,0.6749999999999999,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:54,4,4.301,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:31:59,6,0.907,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:03,4,0.8590000000000001,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:09,8,2.04,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:16,4,3.081,1,0
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:21,8,0.756,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:25,4,0.8350000000000001,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:29,6,0.755,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:36,6,2.565,2,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:41,6,1.6840000000000002,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:48,4,3.109,1,0
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:54,8,2.0709999999999997,1,1
418c49451b7c2dd9ab72aa9c7428b940,12,26-Sep-2006 15:32:59,6,0.6759999999999999,1,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:03,6,4.339,1,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:15,6,7.313999999999999,2,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:20,4,2.2800000000000002,2,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:25,4,1.24,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:32,6,3.754,2,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:37,4,1.591,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:42,4,1.677,2,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:48,8,0.98,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:44:54,6,2.4909999999999997,1,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:01,8,2.577,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:07,8,1.598,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:13,8,1.251,2,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:17,6,0.767,1,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:21,4,0.804,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:28,8,2.1359999999999997,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:32,4,0.808,2,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:40,8,3.526,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:44,4,0.9400000000000001,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:51,6,2.9509999999999996,2,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:45:55,4,0.759,2,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:46:02,6,3.0359999999999996,1,0
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:46:07,8,0.589,1,1
a9eb9cb83a986b5dca9e9da0bec5c2c4,8,27-Sep-2006 10:46:14,6,3.766,1,0
