subid,n.types,timestamp,word.len,rt,keypress,correct
246e363d273a71b8db1fa38d6bf39afe,3,19-May-2007 13:57:25,6,0.189,1,1
246e363d273a71b8db1fa38d6bf39afe,3,19-May-2007 13:57:30,8,0.535,2,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:19:57,8,2.282,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:03,8,0.8170000000000001,2,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:08,8,0.616,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:12,4,0.461,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:16,8,0.373,2,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:22,8,1.466,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:27,8,0.517,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:31,6,0.518,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:37,8,1.023,2,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:42,8,0.455,2,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:47,6,1.279,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:51,4,0.9520000000000001,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:20:55,6,0.647,2,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:00,4,1.253,2,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:05,6,0.721,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:09,4,0.609,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:13,6,0.365,2,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:18,8,0.734,2,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:23,8,0.46,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:27,6,0.441,2,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:33,8,1.779,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:39,6,1.998,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:44,8,0.41800000000000004,2,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:48,4,0.723,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:52,4,0.516,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:21:56,6,0.383,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:22:01,8,0.451,1,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:22:06,4,1.796,1,1
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:22:11,8,0.559,2,0
30905b7c381c105a94ab7eadc97f061a,6,19-May-2007 14:22:17,6,2.4719999999999995,1,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:22,6,6.18,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:28,4,2.3659999999999997,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:35,8,2.094,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:40,8,1.108,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:45,6,1.1880000000000002,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:50,8,0.904,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:56:58,4,4.079000000000001,2,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:03,4,1.732,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:08,8,0.928,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:13,6,0.989,2,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:20,8,2.2630000000000003,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:24,8,0.385,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:29,6,0.543,1,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:33,4,0.593,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:37,6,0.32999999999999996,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:40,4,0.22,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:44,4,0.322,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:49,6,0.735,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:57:57,8,3.772,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:01,4,0.42600000000000005,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:04,4,0.34099999999999997,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:09,8,0.43000000000000005,1,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:13,6,0.278,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:22,8,4.461,1,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:26,6,0.48000000000000004,1,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:31,6,0.361,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:35,6,0.365,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:38,4,0.41500000000000004,2,1
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:43,6,1.061,2,0
60b4c4ff58fdf1a7ab1fdcd70b359bfb,9,20-May-2007 10:58:49,8,1.2289999999999999,2,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:13,6,2.0319999999999996,1,1
4d54ce66eb93332f4ea08676fc8bca6b,3,20-May-2007 15:22:21,8,3.4,2,1
