subid,n.tokens,timestamp,word.len,rt,keypress,correct
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:35:50,4,1.367,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:35:55,8,0.509,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:01,6,2.057,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:06,6,0.8530000000000001,1,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:12,4,3.226,1,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:18,8,0.8300000000000001,1,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:23,4,1.839,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:28,6,1.077,2,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:33,8,0.7879999999999999,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:39,4,3.1470000000000002,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:43,4,0.719,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:50,6,2.9699999999999998,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:36:55,6,0.8620000000000001,1,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:02,6,3.108,2,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:07,8,0.973,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:14,4,3.8339999999999996,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:20,8,0.807,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:24,4,1.364,1,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:29,8,0.136,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:36,6,2.9539999999999997,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:40,8,0.536,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:46,8,0.895,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:53,6,3.8419999999999996,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:37:59,8,0.9580000000000001,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:38:04,6,1.1440000000000001,2,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:38:09,6,1.7169999999999999,2,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:38:14,8,0.529,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:38:19,4,1.432,1,1
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:38:23,4,0.503,1,0
2abac6a7e8cf863afb9dac6b5dfec52e,1200,23-Mar-2007 13:38:27,6,0.5670000000000001,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:32,4,2.8089999999999997,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:37,8,0.609,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:41,4,1.101,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:45,4,0.55,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:49,6,0.454,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:53,4,0.459,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:54:58,8,0.361,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:02,6,0.402,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:07,8,0.304,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:11,4,1.283,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:16,8,0.305,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:20,6,0.29600000000000004,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:25,6,0.33599999999999997,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:29,8,0.33899999999999997,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:33,4,0.229,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:37,6,0.505,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:42,8,0.3,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:46,6,0.52,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:51,8,0.328,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:55:55,6,0.737,1,0
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:00,8,0.306,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:04,4,0.352,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:08,6,0.263,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:12,6,0.41400000000000003,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:17,8,0.262,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:22,8,0.29600000000000004,2,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:26,6,0.266,1,1
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:30,8,0.42100000000000004,1,0
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:35,8,0.40700000000000003,1,0
b69436ee965e46bb5eb84dd9d9fd76a2,600,26-Mar-2007 11:56:40,8,0.24200000000000002,1,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:03,8,0.313,2,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:07,6,0.29000000000000004,2,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:12,4,1.7029999999999998,2,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:17,8,0.06,1,0
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:20,4,0.258,1,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:25,6,0.636,1,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:28,4,0.231,2,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:32,6,0.117,2,1
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:36,6,0.17,1,0
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:40,4,0.21700000000000003,1,0
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:44,6,0.181,2,0
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:48,8,0.21400000000000002,1,0
31cea2b6cac67bd67a66bdd9d5a76696,900,27-Mar-2007 13:41:53,6,0.276,2,0
